Classes,Old Price,Price Change,New Price,date_range
Geely Starray A/T / Premium (Abou Ghaly) 2025,"1,749,000
EGP","trending_up
+146,000
EGP","1,895,000
EGP",2024-10-01
Geely Starray A/T / Comfort / (Abou Ghaly) 2025,"1,649,000
EGP","trending_up
+110,000
EGP","1,759,000
EGP",2024-10-01
Geely Okavango A/T /Premium / (Abou Ghaly) 2024,"1,669,900
EGP","trending_up
+100,000
EGP","1,769,900
EGP",2024-10-01
Volvo XC 40 A/T / Ultra Dark 2024,"2,990,000
EGP","trending_up
+395,000
EGP","3,385,000
EGP",2024-09-29
Volvo XC 40 A/T /  Black Edition 2024,"2,690,000
EGP","trending_up
+309,000
EGP","2,999,000
EGP",2024-09-29
Volvo XC60 A/T / Ultimate Dark 2024,"4,100,000
EGP","trending_up
+100,000
EGP","4,200,000
EGP",2024-09-29
Byd F3 Automtic 2025,"670,000
EGP","trending_up
+20,000
EGP","690,000
EGP",2024-09-16
Byd F3 Manual 2025,"590,000
EGP","trending_up
+20,000
EGP","610,000
EGP",2024-09-16
Geely Starray A/T / Comfort ( AUTO MOBILITY) 2025,"1,669,000
EGP","trending_up
+30,000
EGP","1,699,000
EGP",2024-09-05
Geely Starray A/T / Sport +( AUTO MOBILITY) 2025,"1,929,000
EGP","trending_up
+50,000
EGP","1,979,000
EGP",2024-09-05
Geely Starray A/T / Sport ( AUTO MOBILITY) 2025,"1,849,000
EGP","trending_up
+50,000
EGP","1,899,000
EGP",2024-09-05
Geely Starray A/T / Premium ( AUTO MOBILITY) 2025,"1,749,000
EGP","trending_up
+50,000
EGP","1,799,000
EGP",2024-09-05
Geely Starray A/T / Comfort ( AUTO MOBILITY) 2025,"1,649,000
EGP","trending_up
+20,000
EGP","1,669,000
EGP",2024-09-05
Geely GX3 Pro A/T / Premium (AUTO MOBILITY) 2025,"780,000
EGP","trending_up
+110,000
EGP","890,000
EGP",2024-09-05
Cupra Formentor Automtic 2024,"2,500,000
EGP","trending_up
+50,000
EGP","2,550,000
EGP",2024-09-02
Seat Tarraco A/T / FR 2024,"2,450,000
EGP","trending_up
+50,000
EGP","2,500,000
EGP",2024-09-02
Seat Tarraco A/T / Experience 2024,"2,300,000
EGP","trending_up
+50,000
EGP","2,350,000
EGP",2024-09-02
Vgv U70 Pro A/T / Top Line 2024,"1,079,900
EGP","trending_up
+20,000
EGP","1,099,900
EGP",2024-09-02
Chery Tiggo 3 Automtic / Tinted Glass 2024,"780,000
EGP","trending_up
+50,000
EGP","830,000
EGP",2024-09-01
Chery Tiggo 4 Pro A/T / Highline / Turbo 2025,"1,015,000
EGP","trending_up
+15,000
EGP","1,030,000
EGP",2024-09-01
Chery Tiggo 4 Pro A/T / Luxury 2025,"940,000
EGP","trending_up
+15,000
EGP","955,000
EGP",2024-09-01
Chery Tiggo 4 Pro A/T / Comfort 2025,"865,000
EGP","trending_up
+15,000
EGP","880,000
EGP",2024-09-01
Chery Arrizo 5 AT / HIGHLINE 2025,"715,000
EGP","trending_up
+10,000
EGP","725,000
EGP",2024-09-01
Chery Arrizo 5 AT / BASELINE Leather 2025,"690,000
EGP","trending_up
+10,000
EGP","700,000
EGP",2024-09-01
Chery Arrizo 5 Manual / Base Line  / Leather 2025,"645,000
EGP","trending_up
+10,000
EGP","655,000
EGP",2024-09-01
Byd F3 Automtic 2025,"650,000
EGP","trending_up
+20,000
EGP","670,000
EGP",2024-09-01
Byd F3 Manual 2025,"570,000
EGP","trending_up
+20,000
EGP","590,000
EGP",2024-09-01
Hyundai Elantra AD A/T / Top Line 2025,"1,095,000
EGP","trending_up
+25,000
EGP","1,120,000
EGP",2024-08-29
Hyundai Elantra AD A/T / Modern 2025,"995,000
EGP","trending_up
+20,000
EGP","1,015,000
EGP",2024-08-29
Hyundai Elantra AD A/T / Smart 2025,"935,000
EGP","trending_up
+15,000
EGP","950,000
EGP",2024-08-29
Hyundai Accent RB A/T / Highline 2025,"860,000
EGP","trending_up
+20,000
EGP","880,000
EGP",2024-08-29
Hyundai Accent RB A/T / DAB ABS PLUS 2025,"825,000
EGP","trending_up
+20,000
EGP","845,000
EGP",2024-08-29
Hyundai Accent RB A/T / DAB ABS 2025,"805,000
EGP","trending_up
+20,000
EGP","825,000
EGP",2024-08-29
Hyundai Accent RB A/T / SR 2025,"770,000
EGP","trending_up
+15,000
EGP","785,000
EGP",2024-08-29
Hyundai Accent RB A/T / GL 2025,"740,000
EGP","trending_up
+15,000
EGP","755,000
EGP",2024-08-29
Chery EQ7 Automtic 2025,"0
EGP","trending_up
+1,790,000
EGP","1,790,000
EGP",2024-08-26
Baic X7 A/T / Premium 2025,"1,674,900
EGP","trending_up
+20,000
EGP","1,694,900
EGP",2024-08-25
Baic X7 A/T / Top Line 2025,"1,599,900
EGP","trending_up
+20,000
EGP","1,619,900
EGP",2024-08-25
Baic X7 A/T / Highline 2025,"1,524,900
EGP","trending_up
+20,000
EGP","1,544,900
EGP",2024-08-25
Baic X55 A/T / Premium 2025,"1,474,900
EGP","trending_up
+10,000
EGP","1,484,900
EGP",2024-08-25
Baic X55 A/T / Top Line 2025,"1,349,900
EGP","trending_up
+10,000
EGP","1,359,900
EGP",2024-08-25
Baic X55 A/T / Highline 2025,"1,249,900
EGP","trending_up
+10,000
EGP","1,259,900
EGP",2024-08-25
Baic U5 plus A/T / Top Line 2025,"899,900
EGP","trending_up
+25,000
EGP","924,900
EGP",2024-08-25
Baic U5 plus A/T / Highline 2025,"799,900
EGP","trending_up
+25,000
EGP","824,900
EGP",2024-08-25
MG One A/T / Luxury 2025,"1,420,000
EGP","trending_up
+60,000
EGP","1,480,000
EGP",2024-08-21
MG One A/T / Standard 2025,"1,320,000
EGP","trending_up
+60,000
EGP","1,380,000
EGP",2024-08-21
MG ZS A/T / Luxury 2025,"1,050,000
EGP","trending_up
+30,000
EGP","1,080,000
EGP",2024-08-21
MG ZS Automatic / Comfort / ACC 2025,"1,025,000
EGP","trending_up
+25,000
EGP","1,050,000
EGP",2024-08-21
MG ZS Automatic / Comfort 2025,"1,000,000
EGP","trending_up
+30,000
EGP","1,030,000
EGP",2024-08-21
MG 6 A/T / LUX / Red Interior 2025,"1,260,000
EGP","trending_up
+10,000
EGP","1,270,000
EGP",2024-08-21
MG 5 A/T / Luxury 2025,"950,000
EGP","trending_up
+50,000
EGP","1,000,000
EGP",2024-08-21
MG 5 A/T / Standard 2025,"860,000
EGP","trending_up
+40,000
EGP","900,000
EGP",2024-08-21
Toyota Fortuner A/T / Sport 2025,"3,750,000
EGP","trending_up
+150,000
EGP","3,900,000
EGP",2024-08-19
Toyota Fortuner Automtic / ELEGANCE 2025,"3,550,000
EGP","trending_up
+150,000
EGP","3,700,000
EGP",2024-08-19
Toyota Fortuner A/T / SMART 2025,"3,250,000
EGP","trending_up
+150,000
EGP","3,400,000
EGP",2024-08-19
Nissan Sentra A/T / Premium 2025,"1,049,000
EGP","trending_up
+50,000
EGP","1,099,000
EGP",2024-08-18
Nissan Sentra A/T / Highline 2025,"949,000
EGP","trending_up
+50,000
EGP","999,000
EGP",2024-08-18
Nissan Sunny A/T / Super Saloon 2025,"761,000
EGP","trending_up
+34,000
EGP","795,000
EGP",2024-08-18
Nissan Sunny A/T / plus 2025,"747,000
EGP","trending_up
+18,000
EGP","765,000
EGP",2024-08-18
Nissan Sunny Automatic / Baseline 2025,"726,500
EGP","trending_up
+8,500
EGP","735,000
EGP",2024-08-18
Volvo XC60 A/T / Essential 2024,"4,100,000
EGP","trending_down
-400,000
EGP","3,700,000
EGP",2024-08-15
Volvo XC 40 A/T / Ultra Dark 2024,"3,385,000
EGP","trending_down
-395,000
EGP","2,990,000
EGP",2024-08-15
Volvo XC 40 A/T /  Black Edition 2024,"2,999,000
EGP","trending_down
-309,000
EGP","2,690,000
EGP",2024-08-15
Byd F3 Automtic 2025,"640,000
EGP","trending_up
+10,000
EGP","650,000
EGP",2024-08-14
Byd F3 Manual 2025,"560,000
EGP","trending_up
+10,000
EGP","570,000
EGP",2024-08-14
Cupra Formentor Automtic 2024,"2,420,000
EGP","trending_up
+80,000
EGP","2,500,000
EGP",2024-08-12
Seat Tarraco A/T / FR 2024,"2,370,000
EGP","trending_up
+80,000
EGP","2,450,000
EGP",2024-08-12
Seat Tarraco A/T / Experience 2024,"2,220,000
EGP","trending_up
+80,000
EGP","2,300,000
EGP",2024-08-12
MG HS A/T / Luxury 2025,"1,570,000
EGP","trending_up
+30,000
EGP","1,600,000
EGP",2024-08-11
MG One A/T / Luxury 2025,"1,370,000
EGP","trending_up
+50,000
EGP","1,420,000
EGP",2024-08-11
MG One A/T / Standard 2025,"1,280,000
EGP","trending_up
+70,000
EGP","1,350,000
EGP",2024-08-11
MG ZS A/T / Luxury 2025,"1,020,000
EGP","trending_up
+30,000
EGP","1,050,000
EGP",2024-08-11
MG ZS Automatic / Comfort / ACC 2025,"1,000,000
EGP","trending_up
+25,000
EGP","1,025,000
EGP",2024-08-11
MG ZS Automatic / Comfort 2025,"975,000
EGP","trending_up
+25,000
EGP","1,000,000
EGP",2024-08-11
MG RX5 Plus A/T / Luxury 2025,"1,500,000
EGP","trending_up
+40,000
EGP","1,540,000
EGP",2024-08-11
MG RX5 Plus A/T / Comfort 2025,"1,450,000
EGP","trending_up
+40,000
EGP","1,490,000
EGP",2024-08-11
MG 6 A/T / LUX / Red Interior 2025,"1,250,000
EGP","trending_up
+10,000
EGP","1,260,000
EGP",2024-08-11
MG 6 A/T / LUX / Black interior 2025,"1,220,000
EGP","trending_up
+30,000
EGP","1,250,000
EGP",2024-08-11
MG 5 A/T / Luxury 2025,"900,000
EGP","trending_up
+50,000
EGP","950,000
EGP",2024-08-11
MG 5 A/T / Standard 2025,"830,000
EGP","trending_up
+30,000
EGP","860,000
EGP",2024-08-11
Vgv U70 Pro A/T / Top Line 2024,"1,195,000
EGP","trending_down
-115,100
EGP","1,079,900
EGP",2024-08-05
Seat Tarraco A/T / FR 2024,"2,350,000
EGP","trending_up
+20,000
EGP","2,370,000
EGP",2024-08-01
Seat Tarraco A/T / Experience 2024,"2,200,000
EGP","trending_up
+20,000
EGP","2,220,000
EGP",2024-08-01
Cupra Formentor Automtic 2024,"2,400,000
EGP","trending_up
+20,000
EGP","2,420,000
EGP",2024-08-01
Hyundai Elantra AD A/T / Top Line 2025,"1,080,000
EGP","trending_up
+15,000
EGP","1,095,000
EGP",2024-08-01
Hyundai Elantra AD A/T / Modern 2025,"980,000
EGP","trending_up
+15,000
EGP","995,000
EGP",2024-08-01
Hyundai Elantra AD A/T / Smart 2025,"920,000
EGP","trending_up
+15,000
EGP","935,000
EGP",2024-08-01
Hyundai Accent RB A/T / Highline 2025,"850,000
EGP","trending_up
+10,000
EGP","860,000
EGP",2024-08-01
Hyundai Accent RB A/T / DAB ABS PLUS 2025,"815,000
EGP","trending_up
+10,000
EGP","825,000
EGP",2024-08-01
Hyundai Accent RB A/T / DAB ABS 2025,"795,000
EGP","trending_up
+10,000
EGP","805,000
EGP",2024-08-01
Hyundai Accent RB A/T / SR 2025,"760,000
EGP","trending_up
+10,000
EGP","770,000
EGP",2024-08-01
Hyundai Accent RB A/T / GL 2025,"730,000
EGP","trending_up
+10,000
EGP","740,000
EGP",2024-08-01
Mitsubishi Outlander Sport Automtic / PREMIUM LINE 2025,"1,450,000
EGP","trending_up
+50,000
EGP","1,500,000
EGP",2024-08-01
Chery Tiggo 7 A/T / Highline 2025,"1,045,000
EGP","trending_up
+15,000
EGP","1,060,000
EGP",2024-08-01
Chery Tiggo 7 A/T /  Baseline 2025,"970,000
EGP","trending_up
+10,000
EGP","980,000
EGP",2024-08-01
Chery Tiggo 4 Pro A/T / Highline / Turbo 2025,"999,000
EGP","trending_up
+16,000
EGP","1,015,000
EGP",2024-08-01
Chery Tiggo 4 Pro A/T / Luxury 2025,"925,000
EGP","trending_up
+15,000
EGP","940,000
EGP",2024-08-01
Chery Tiggo 4 Pro A/T / Comfort 2025,"850,000
EGP","trending_up
+15,000
EGP","865,000
EGP",2024-08-01
Byd F3 Automtic 2025,"620,000
EGP","trending_up
+20,000
EGP","640,000
EGP",2024-07-03
Byd F3 Manual 2025,"540,000
EGP","trending_up
+20,000
EGP","560,000
EGP",2024-07-03
Hyundai Elantra AD A/T / Top Line 2025,"1,050,000
EGP","trending_up
+30,000
EGP","1,080,000
EGP",2024-07-01
Hyundai Elantra AD A/T / Modern 2025,"950,000
EGP","trending_up
+30,000
EGP","980,000
EGP",2024-07-01
Hyundai Elantra AD A/T / Smart 2025,"890,000
EGP","trending_up
+30,000
EGP","920,000
EGP",2024-07-01
Hyundai Accent RB A/T / Highline 2025,"825,000
EGP","trending_up
+25,000
EGP","850,000
EGP",2024-07-01
Hyundai Accent RB A/T / DAB ABS PLUS 2025,"790,000
EGP","trending_up
+25,000
EGP","815,000
EGP",2024-07-01
Hyundai Accent RB A/T / DAB ABS 2025,"770,000
EGP","trending_up
+25,000
EGP","795,000
EGP",2024-07-01
Hyundai Accent RB A/T / SR 2025,"735,000
EGP","trending_up
+25,000
EGP","760,000
EGP",2024-07-01
Hyundai Accent RB A/T / GL 2025,"705,000
EGP","trending_up
+25,000
EGP","730,000
EGP",2024-07-01
BMW 7 Series A/T /  i7 XDrive60 2024,"10,560,000
EGP","trending_down
-60,000
EGP","10,500,000
EGP",2024-07-01
BMW 7 Series A/T /  i7 XDrive60 2024,"10,500,000
EGP","trending_up
+60,000
EGP","10,560,000
EGP",2024-07-01
Soueast DX5 A/T / Top Line 2024,"950,000
EGP","trending_down
-50,000
EGP","900,000
EGP",2024-06-25
Geely Starray A/T / Sport +( AUTO MOBILITY) 2025,"1,849,000
EGP","trending_up
+80,000
EGP","1,929,000
EGP",2024-06-10
BMW X1 A/T / M Sport 2025,"3,275,000
EGP","trending_down
-110,000
EGP","3,165,000
EGP",2024-06-02
BMW 7 Series A/T / 740i 2025,"9,900,000
EGP","trending_up
+350,000
EGP","10,250,000
EGP",2024-06-02
Chery Tiggo 3 Automtic / Tinted Glass 2024,"855,000
EGP","trending_down
-75,000
EGP","780,000
EGP",2024-05-29
Subaru Forester Automtic 2024,"2,695,000
EGP","trending_down
-96,000
EGP","2,599,000
EGP",2024-05-21
Subaru XV Crosstrek Automtic 2024,"2,495,000
EGP","trending_down
-145,000
EGP","2,350,000
EGP",2024-05-21
Soueast DX5 A/T / Top Line 2024,"860,000
EGP","trending_up
+90,000
EGP","950,000
EGP",2024-05-09
Kia Grand Cerato A/T / Highline 2024,"1,649,900
EGP","trending_down
-200,000
EGP","1,449,900
EGP",2024-04-30
Kia Grand Cerato A/T / EX Cam 2024,"1,549,900
EGP","trending_down
-170,000
EGP","1,379,900
EGP",2024-04-30
Kia Grand Cerato A/T / LX FO 2024,"1,449,900
EGP","trending_down
-200,000
EGP","1,249,900
EGP",2024-04-30
Geely Okavango A/T /Premium / (Abou Ghaly) 2024,"1,879,900
EGP","trending_down
-210,000
EGP","1,669,900
EGP",2024-04-24
Chery Tiggo 3 Automtic / Tinted Glass 2024,"955,000
EGP","trending_down
-100,000
EGP","855,000
EGP",2024-04-18
Ford Focus A/T /  Titanium 5Dr 2023,"1,465,000
EGP","trending_down
-100,000
EGP","1,365,000
EGP",2024-04-15
Ford Focus A/T / Connected 5d 2023,"1,425,000
EGP","trending_down
-100,000
EGP","1,325,000
EGP",2024-04-15
Ford Focus A/T / Titanium 4d 2023,"1,485,000
EGP","trending_down
-100,000
EGP","1,385,000
EGP",2024-04-15
Ford Focus A/T / Connected 4d 2023,"1,450,000
EGP","trending_down
-100,000
EGP","1,350,000
EGP",2024-04-15
Ford Focus A/T / Trend 4d 2023,"1,390,000
EGP","trending_down
-100,000
EGP","1,290,000
EGP",2024-04-15
Cupra Formentor Automtic 2024,"2,550,000
EGP","trending_down
-150,000
EGP","2,400,000
EGP",2024-04-15
Seat Tarraco A/T / FR 2024,"2,600,000
EGP","trending_down
-250,000
EGP","2,350,000
EGP",2024-04-15
Seat Tarraco A/T / Experience 2024,"2,400,000
EGP","trending_down
-200,000
EGP","2,200,000
EGP",2024-04-15
Alfa Romeo Tonale A/T / Veloce 2024,"3,010,000
EGP","trending_down
-60,000
EGP","2,950,000
EGP",2024-04-02
Alfa Romeo Tonale A/T / TI 2024,"2,790,000
EGP","trending_down
-100,000
EGP","2,690,000
EGP",2024-04-02
Suzuki Grand vitara A/T / GLX 2 Tone 2024,"2,050,000
EGP","trending_down
-250,000
EGP","1,800,000
EGP",2024-03-27
Suzuki Grand vitara A/T / GLX 2024,"2,000,000
EGP","trending_down
-250,000
EGP","1,750,000
EGP",2024-03-27
Suzuki Fronx A/T / GLX 2 Tone 2024,"1,700,000
EGP","trending_down
-200,000
EGP","1,500,000
EGP",2024-03-27
Suzuki Fronx A/T / GLX 2024,"1,650,000
EGP","trending_down
-200,000
EGP","1,450,000
EGP",2024-03-27
Suzuki Fronx A/T / GL / 2 tone 2024,"1,600,000
EGP","trending_down
-200,000
EGP","1,400,000
EGP",2024-03-27
Suzuki Fronx A/T / GL 2024,"1,550,000
EGP","trending_down
-200,000
EGP","1,350,000
EGP",2024-03-27
Jac JS3 A/T / Top Line 2024,"1,104,900
EGP","trending_down
-86,000
EGP","1,018,900
EGP",2024-03-20
Citroën C Elysee A/T / Luxury 2024,"1,150,000
EGP","trending_down
-190,000
EGP","960,000
EGP",2024-03-20
Geely Okavango A/T /Premium / (Abou Ghaly) 2024,"1,513,900
EGP","trending_up
+366,000
EGP","1,879,900
EGP",2024-03-14
KGM Tivoli XLV Automtic 2024,"1,600,000
EGP","trending_down
-200,000
EGP","1,400,000
EGP",2024-03-13
KGM Tivoli Automtic 2024,"1,400,000
EGP","trending_down
-25,000
EGP","1,375,000
EGP",2024-03-13
KGM Tivoli Automtic 2024,"1,575,000
EGP","trending_down
-175,000
EGP","1,400,000
EGP",2024-03-13
KGM Tivoli XLV Automtic 2024,"1,190,000
EGP","trending_up
+410,000
EGP","1,600,000
EGP",2024-03-13
KGM Tivoli Automtic 2024,"1,150,000
EGP","trending_up
+425,000
EGP","1,575,000
EGP",2024-03-13
Soueast DX8S Coupe A/T / Active 2024,"989,990
EGP","trending_up
+209,010
EGP","1,199,000
EGP",2024-03-07
Zotye T300 Automtic 2024,"1
EGP","trending_up
+998,999
EGP","999,000
EGP",2024-02-28
Zotye T300 manual‏ 2024,"1
EGP","trending_up
+774,899
EGP","774,900
EGP",2024-02-28
Alfa Romeo Tonale A/T / Veloce 2024,"2,600,000
EGP","trending_up
+410,000
EGP","3,010,000
EGP",2024-02-20
Alfa Romeo Tonale A/T / TI 2024,"2,400,000
EGP","trending_up
+390,000
EGP","2,790,000
EGP",2024-02-20
Subaru XV Crosstrek Automtic 2024,"2,100,000
EGP","trending_up
+395,000
EGP","2,495,000
EGP",2024-02-19
Suzuki Grand vitara A/T / GLX 2 Tone 2024,"1,549,900
EGP","trending_up
+500,100
EGP","2,050,000
EGP",2024-02-19
Suzuki Grand vitara A/T / GLX 2024,"1,499,900
EGP","trending_up
+550,100
EGP","2,050,000
EGP",2024-02-19
Suzuki Fronx A/T / GLX 2 Tone 2024,"1,299,900
EGP","trending_up
+400,100
EGP","1,700,000
EGP",2024-02-19
Suzuki Fronx A/T / GLX 2024,"1,249,900
EGP","trending_up
+400,100
EGP","1,650,000
EGP",2024-02-19
